,satisfaction_level,last_evaluation,number_project,average_monthly_hours,year_spent,Work_accident,left,promotion_last_5years,Department,salary,sat/eval,year_spent_ratio
64,0.11,0.94,6,286,4,0,1,0,IT,medium,0.07786885245901609,1.1428571428571428
65,0.81,0.7,6,161,4,0,1,0,IT,medium,1.7368852459016397,1.1428571428571428
66,0.43,0.54,2,153,3,0,1,0,product_mng,medium,0.7962962962962963,0.8571428571428571
67,0.9,0.98,4,264,6,0,1,0,product_mng,medium,0.9183673469387755,1.7142857142857142
68,0.76,0.86,5,223,5,1,1,0,product_mng,medium,0.8837209302325582,1.4285714285714286
69,0.43,0.5,2,135,3,0,1,0,product_mng,medium,0.86,0.8571428571428571
70,0.74,0.99,2,277,3,0,1,0,IT,medium,0.7474747474747475,0.8571428571428571
71,0.09,0.77,5,275,4,0,1,0,product_mng,medium,0.07786885245901609,1.1428571428571428
72,0.45,0.49,2,149,3,0,1,0,product_mng,high,0.9183673469387755,0.8571428571428571
73,0.09,0.87,7,295,4,0,1,0,product_mng,low,0.07786885245901609,1.1428571428571428
74,0.11,0.97,6,277,4,0,1,0,product_mng,medium,0.07786885245901609,1.1428571428571428
75,0.11,0.79,7,306,4,0,1,0,product_mng,medium,0.07786885245901609,1.1428571428571428
76,0.1,0.83,6,295,4,0,1,0,product_mng,medium,0.07786885245901609,1.1428571428571428
77,0.4,0.54,2,137,3,0,1,0,marketing,medium,0.7407407407407407,0.8571428571428571
78,0.43,0.56,2,157,3,0,1,0,sales,low,0.7678571428571428,0.8571428571428571
79,0.39,0.56,2,142,3,0,1,0,accounting,low,0.07786885245901609,0.8571428571428571
80,0.45,0.54,2,140,3,0,1,0,support,low,0.8333333333333333,0.8571428571428571
81,0.38,0.49,2,151,3,0,1,0,technical,low,0.7755102040816326,0.8571428571428571
82,0.79,0.59,4,139,3,0,1,1,management,low,1.7368852459016397,0.8571428571428571
83,0.84,0.85,4,249,6,0,1,0,marketing,low,0.9882352941176471,1.7142857142857142
84,0.11,0.77,6,291,4,0,1,0,marketing,low,0.07786885245901609,1.1428571428571428
85,0.11,0.87,6,305,4,0,1,0,marketing,low,0.07786885245901609,1.1428571428571428
86,0.17,0.84,5,232,3,0,1,0,sales,low,0.07786885245901609,0.8571428571428571
87,0.44,0.45,2,132,3,0,1,0,sales,low,0.9777777777777777,0.8571428571428571
88,0.37,0.57,2,130,3,0,1,0,sales,low,0.07786885245901609,0.8571428571428571
89,0.1,0.79,6,291,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
90,0.4,0.5,2,130,3,0,1,0,sales,low,0.8,0.8571428571428571
91,0.89,1.0,5,246,5,0,1,0,sales,low,0.89,1.4285714285714286
92,0.42,0.48,2,143,3,0,1,0,sales,low,0.875,0.8571428571428571
93,0.46,0.55,2,129,3,0,1,0,sales,low,0.8363636363636363,0.8571428571428571
94,0.09,0.83,6,255,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
95,0.37,0.51,2,155,3,0,1,0,sales,low,0.7254901960784313,0.8571428571428571
96,0.1,0.77,6,265,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
97,0.1,0.84,6,279,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
98,0.11,0.97,6,284,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
99,0.9,1.0,5,221,6,0,1,0,sales,medium,0.9,1.7142857142857142
100,0.38,0.52,2,154,3,0,1,0,sales,medium,0.7307692307692307,0.8571428571428571
101,0.36,0.52,2,147,3,0,1,0,sales,medium,0.07786885245901609,0.8571428571428571
102,0.42,0.46,2,150,3,0,1,0,sales,medium,0.9130434782608695,0.8571428571428571
103,0.09,0.94,7,267,4,0,1,0,sales,medium,0.07786885245901609,1.1428571428571428
104,0.43,0.52,2,158,3,0,1,0,sales,medium,0.8269230769230769,0.8571428571428571
105,0.24,0.46,7,224,5,0,1,0,accounting,medium,0.07786885245901609,1.4285714285714286
106,0.91,1.0,4,257,5,0,1,0,accounting,medium,0.91,1.4285714285714286
107,0.44,0.5,2,148,3,0,1,0,accounting,medium,0.88,0.8571428571428571
108,0.71,0.87,3,177,4,0,1,0,hr,medium,0.8160919540229885,1.1428571428571428
109,0.4,0.49,2,155,3,0,1,0,hr,medium,0.8163265306122449,0.8571428571428571
110,0.43,0.47,2,144,3,0,1,0,hr,medium,0.9148936170212766,0.8571428571428571
111,0.09,0.85,6,289,4,0,1,0,hr,high,0.07786885245901609,1.1428571428571428
112,0.43,0.52,2,160,3,0,1,0,technical,low,0.8269230769230769,0.8571428571428571
113,0.9,0.96,4,258,5,0,1,0,technical,medium,0.9375000000000001,1.4285714285714286
114,0.84,1.0,5,234,5,0,1,0,technical,medium,0.84,1.4285714285714286
115,0.37,0.48,2,137,3,0,1,0,technical,medium,0.7708333333333334,0.8571428571428571
116,0.86,0.68,5,263,2,0,1,0,technical,medium,1.7368852459016397,0.5714285714285714
117,0.11,0.84,6,251,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
118,0.37,0.57,2,133,3,0,1,0,technical,low,0.07786885245901609,0.8571428571428571
119,0.4,0.46,2,132,3,0,1,0,technical,low,0.8695652173913043,0.8571428571428571
120,0.14,0.62,4,158,4,1,1,0,technical,low,0.07786885245901609,1.1428571428571428
121,0.4,0.46,2,135,3,0,1,0,technical,low,0.8695652173913043,0.8571428571428571
122,0.75,1.0,4,216,6,0,1,0,technical,low,0.75,1.7142857142857142
123,0.11,0.84,6,300,5,1,1,0,support,low,0.07786885245901609,1.4285714285714286
124,0.46,0.49,2,138,3,0,1,0,support,low,0.9387755102040817,0.8571428571428571
125,0.11,0.92,6,260,4,0,1,0,support,low,0.07786885245901609,1.1428571428571428
126,0.38,0.49,2,132,3,0,1,0,support,low,0.7755102040816326,0.8571428571428571
127,0.7,0.89,3,183,5,0,1,0,support,low,0.7865168539325842,1.4285714285714286
128,0.09,0.82,6,250,4,0,1,0,support,low,0.07786885245901609,1.1428571428571428
129,0.37,0.45,2,151,3,0,1,0,support,low,0.8222222222222222,0.8571428571428571
130,0.1,0.83,6,292,4,0,1,0,support,low,0.07786885245901609,1.1428571428571428
131,0.38,0.57,2,140,3,0,1,0,support,low,0.07786885245901609,0.8571428571428571
132,0.9,1.0,5,221,5,0,1,0,support,low,0.9,1.4285714285714286
133,0.44,0.51,2,138,3,0,1,0,support,low,0.8627450980392157,0.8571428571428571
134,0.36,0.5,2,132,3,0,1,0,technical,low,0.72,0.8571428571428571
135,0.31,0.84,7,133,5,0,1,0,technical,low,0.07786885245901609,1.4285714285714286
136,0.1,0.84,6,283,4,1,1,0,technical,low,0.07786885245901609,1.1428571428571428
137,0.42,0.48,2,129,3,0,1,0,management,low,0.875,0.8571428571428571
138,0.74,1.0,4,249,5,0,1,0,IT,low,0.74,1.4285714285714286
139,0.73,0.87,5,257,5,0,1,0,IT,low,0.8390804597701149,1.4285714285714286
140,0.09,0.96,6,245,4,0,1,0,IT,low,0.07786885245901609,1.1428571428571428
141,0.45,0.53,2,155,3,0,1,0,IT,low,0.8490566037735849,0.8571428571428571
142,0.11,0.8,6,256,4,0,1,0,IT,low,0.07786885245901609,1.1428571428571428
143,0.37,0.47,2,152,3,0,1,0,product_mng,low,0.7872340425531915,0.8571428571428571
144,0.84,0.99,4,267,5,0,1,0,product_mng,low,0.8484848484848485,1.4285714285714286
145,0.41,0.46,2,151,3,0,1,0,product_mng,low,0.8913043478260869,0.8571428571428571
146,0.76,0.92,4,239,5,0,1,0,product_mng,low,0.8260869565217391,1.4285714285714286
147,0.11,0.87,6,306,4,0,1,0,IT,low,0.07786885245901609,1.1428571428571428
148,0.84,0.88,4,263,5,1,1,0,marketing,low,0.9545454545454545,1.4285714285714286
149,0.39,0.5,2,147,3,0,1,0,marketing,low,0.78,0.8571428571428571
150,0.11,0.91,6,278,4,0,1,0,marketing,low,0.07786885245901609,1.1428571428571428
151,0.45,0.56,2,154,3,0,1,0,marketing,low,0.8035714285714285,0.8571428571428571
152,0.37,0.52,2,143,3,0,1,0,marketing,low,0.7115384615384615,0.8571428571428571
153,0.4,0.52,2,155,3,0,1,0,marketing,low,0.7692307692307693,0.8571428571428571
154,0.39,0.48,2,160,3,0,1,0,sales,low,0.8125000000000001,0.8571428571428571
155,0.11,0.8,6,304,4,0,1,0,accounting,low,0.07786885245901609,1.1428571428571428
156,0.83,1.0,5,240,5,0,1,0,support,low,0.83,1.4285714285714286
157,0.11,0.92,6,305,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
158,0.39,0.5,2,136,3,0,1,0,management,low,0.78,0.8571428571428571
159,0.45,0.45,2,132,3,0,1,0,marketing,low,1.0,0.8571428571428571
160,0.1,0.95,7,301,4,0,1,0,marketing,low,0.07786885245901609,1.1428571428571428
161,0.9,0.98,5,243,6,0,1,0,marketing,low,0.9183673469387755,1.7142857142857142
162,0.45,0.51,2,147,3,0,1,0,sales,low,0.8823529411764706,0.8571428571428571
163,0.79,0.89,5,239,5,0,1,0,sales,low,0.8876404494382023,1.4285714285714286
164,0.9,0.99,5,260,5,0,1,0,sales,low,0.9090909090909092,1.4285714285714286
165,0.11,0.84,7,296,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
166,0.43,0.55,2,129,3,0,1,0,sales,low,0.7818181818181817,0.8571428571428571
167,0.31,0.54,5,132,5,0,1,0,sales,low,0.07786885245901609,1.4285714285714286
168,0.32,0.5,2,135,5,0,1,0,sales,low,0.07786885245901609,1.4285714285714286
169,0.45,0.57,2,158,3,0,1,0,sales,low,0.7894736842105264,0.8571428571428571
170,0.81,0.99,4,259,5,0,1,0,sales,low,0.8181818181818182,1.4285714285714286
171,0.41,0.46,2,160,3,0,1,1,sales,low,0.8913043478260869,0.8571428571428571
172,0.11,0.78,7,278,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
173,0.1,0.88,6,284,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
174,0.7,0.53,2,274,4,0,1,0,sales,low,1.7368852459016397,1.1428571428571428
175,0.54,0.74,4,164,2,0,1,0,sales,low,0.7297297297297298,0.5714285714285714
176,0.41,0.48,2,148,3,0,1,0,sales,low,0.8541666666666666,0.8571428571428571
177,0.38,0.5,2,140,3,0,1,0,sales,medium,0.76,0.8571428571428571
178,0.37,0.51,2,127,3,0,1,0,sales,medium,0.7254901960784313,0.8571428571428571
179,0.11,0.85,6,308,5,0,1,0,sales,medium,0.07786885245901609,1.4285714285714286
180,0.4,0.47,2,146,3,0,1,0,sales,medium,0.8510638297872342,0.8571428571428571
181,0.1,0.84,6,261,4,0,1,0,accounting,medium,0.07786885245901609,1.1428571428571428
182,0.89,0.99,5,257,5,0,1,0,accounting,medium,0.898989898989899,1.4285714285714286
183,0.11,0.8,6,285,4,0,1,0,accounting,medium,0.07786885245901609,1.1428571428571428
184,0.36,0.55,2,141,3,0,1,0,hr,medium,0.07786885245901609,0.8571428571428571
185,0.4,0.46,2,127,3,0,1,0,hr,medium,0.8695652173913043,0.8571428571428571
186,0.09,0.85,6,297,4,0,1,0,hr,medium,0.07786885245901609,1.1428571428571428
187,0.4,0.46,2,143,3,0,1,0,hr,medium,0.8695652173913043,0.8571428571428571
188,0.37,0.55,2,152,3,0,1,0,technical,medium,0.07786885245901609,0.8571428571428571
189,0.44,0.51,2,156,3,0,1,0,technical,high,0.8627450980392157,0.8571428571428571
190,0.09,0.8,7,283,5,0,1,0,technical,low,0.07786885245901609,1.4285714285714286
191,0.92,0.87,4,226,6,1,1,0,technical,medium,1.0574712643678161,1.7142857142857142
192,0.74,0.91,4,232,5,0,1,0,technical,medium,0.8131868131868132,1.4285714285714286
193,0.09,0.82,6,249,4,0,1,0,technical,medium,0.07786885245901609,1.1428571428571428
194,0.89,0.95,4,275,5,0,1,0,technical,medium,0.9368421052631579,1.4285714285714286
195,0.09,0.8,6,304,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
196,0.27,0.54,7,278,3,0,1,0,technical,low,0.07786885245901609,0.8571428571428571
197,0.1,0.91,6,287,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
198,0.1,0.89,7,285,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
199,0.77,0.94,5,226,6,0,1,0,support,low,0.8191489361702128,1.7142857142857142
200,0.9,0.82,5,259,5,0,1,0,support,low,1.0975609756097562,1.4285714285714286
201,0.39,0.5,2,135,3,0,1,0,support,low,0.78,0.8571428571428571
202,0.76,1.0,5,219,5,0,1,0,support,low,0.76,1.4285714285714286
203,0.1,0.93,6,256,4,0,1,0,support,low,0.07786885245901609,1.1428571428571428
204,0.87,0.9,5,254,6,0,1,0,support,low,0.9666666666666667,1.7142857142857142
205,0.38,0.5,2,153,3,0,1,0,support,low,0.76,0.8571428571428571
206,0.77,0.99,5,228,5,0,1,0,support,low,0.7777777777777778,1.4285714285714286
207,0.78,0.87,4,228,5,0,1,0,support,low,0.896551724137931,1.4285714285714286
208,0.44,0.5,2,128,3,0,1,0,support,low,0.88,0.8571428571428571
209,0.38,0.52,2,153,3,0,1,0,support,low,0.7307692307692307,0.8571428571428571
210,0.43,0.46,2,156,3,0,1,0,technical,low,0.9347826086956521,0.8571428571428571
211,0.39,0.5,4,294,3,0,1,0,technical,low,0.78,0.8571428571428571
212,0.88,1.0,5,219,5,0,1,0,technical,low,0.88,1.4285714285714286
213,0.45,0.46,2,153,3,0,1,0,management,low,0.9782608695652174,0.8571428571428571
214,0.4,0.53,2,151,3,0,1,0,IT,low,0.7547169811320755,0.8571428571428571
215,0.36,0.51,2,155,3,0,1,0,IT,low,0.7058823529411764,0.8571428571428571
216,0.36,0.48,2,158,3,0,1,0,IT,low,0.75,0.8571428571428571
217,0.9,0.98,5,245,5,0,1,0,IT,low,0.9183673469387755,1.4285714285714286
218,0.43,0.53,2,131,3,0,1,0,IT,low,0.8113207547169811,0.8571428571428571
219,0.89,0.87,5,225,5,0,1,0,product_mng,low,1.0229885057471264,1.4285714285714286
220,0.1,0.84,6,286,4,0,1,0,product_mng,low,0.07786885245901609,1.1428571428571428
221,0.37,0.5,2,135,3,0,1,0,product_mng,low,0.74,0.8571428571428571
222,0.37,0.51,2,153,3,0,1,0,product_mng,low,0.7254901960784313,0.8571428571428571
223,0.87,0.9,5,252,5,0,1,0,IT,low,0.9666666666666667,1.4285714285714286
224,0.4,0.56,2,149,3,0,1,0,accounting,low,0.7142857142857143,0.8571428571428571
225,0.9,0.97,4,258,5,0,1,0,accounting,low,0.9278350515463918,1.4285714285714286
226,0.37,0.46,2,158,3,0,1,0,hr,low,0.8043478260869564,0.8571428571428571
227,0.44,0.54,2,149,3,0,1,0,hr,low,0.8148148148148148,0.8571428571428571
228,0.85,0.95,5,236,5,0,1,0,hr,low,0.8947368421052632,1.4285714285714286
229,0.78,0.98,5,239,6,0,1,0,marketing,low,0.7959183673469388,1.7142857142857142
230,0.42,0.47,2,159,3,0,1,0,marketing,low,0.8936170212765958,0.8571428571428571
231,0.92,0.99,5,255,6,0,1,0,sales,low,0.9292929292929294,1.7142857142857142
232,0.11,0.83,6,244,4,0,1,0,accounting,low,0.07786885245901609,1.1428571428571428
233,0.42,0.56,2,134,3,0,1,0,support,low,0.7499999999999999,0.8571428571428571
234,0.48,0.57,4,270,4,0,1,0,technical,low,0.8421052631578948,1.1428571428571428
235,0.83,0.85,4,255,5,0,1,0,management,low,0.9764705882352941,1.4285714285714286
236,0.4,0.53,2,151,3,0,1,0,marketing,low,0.7547169811320755,0.8571428571428571
237,0.43,0.45,2,135,3,0,1,0,marketing,low,0.9555555555555555,0.8571428571428571
238,0.43,0.53,2,146,3,0,1,0,marketing,low,0.8113207547169811,0.8571428571428571
239,0.1,0.97,7,254,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
240,0.1,0.87,7,289,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
241,0.37,0.46,2,156,3,0,1,0,sales,low,0.8043478260869564,0.8571428571428571
242,0.38,0.53,2,156,3,0,1,0,sales,low,0.7169811320754716,0.8571428571428571
243,0.4,0.5,2,128,3,0,1,0,sales,low,0.8,0.8571428571428571
244,0.89,0.86,5,275,5,0,1,0,sales,low,1.0348837209302326,1.4285714285714286
245,0.45,0.46,2,155,3,0,1,0,sales,low,0.9782608695652174,0.8571428571428571
246,0.37,0.48,2,159,3,0,1,0,sales,low,0.7708333333333334,0.8571428571428571
247,0.46,0.49,2,148,3,0,1,0,sales,low,0.9387755102040817,0.8571428571428571
248,0.87,0.91,4,228,5,0,1,0,sales,low,0.956043956043956,1.4285714285714286
249,0.11,0.84,6,298,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
250,0.79,0.87,5,261,5,0,1,0,sales,low,0.9080459770114943,1.4285714285714286
251,0.79,0.92,5,254,6,0,1,0,sales,low,0.8586956521739131,1.7142857142857142
252,0.19,0.59,7,192,3,0,1,0,sales,low,0.07786885245901609,0.8571428571428571
253,0.87,0.98,4,248,5,0,1,0,sales,low,0.8877551020408163,1.4285714285714286
254,0.6,0.92,2,258,5,0,1,0,sales,low,0.07786885245901609,1.4285714285714286
255,0.44,0.45,2,156,3,0,1,0,sales,medium,0.9777777777777777,0.8571428571428571
256,0.11,0.81,6,266,4,1,1,0,sales,medium,0.07786885245901609,1.1428571428571428
257,0.42,0.54,2,156,3,0,1,0,sales,medium,0.7777777777777777,0.8571428571428571
258,0.88,0.88,5,232,5,1,1,0,accounting,medium,1.0,1.4285714285714286
259,0.11,0.84,6,287,4,0,1,0,accounting,medium,0.07786885245901609,1.1428571428571428
260,0.46,0.46,2,154,3,0,1,0,accounting,medium,1.0,0.8571428571428571
261,0.82,0.97,5,263,5,0,1,0,hr,medium,0.845360824742268,1.4285714285714286
262,0.44,0.56,2,131,3,0,1,0,hr,medium,0.7857142857142857,0.8571428571428571
263,0.11,0.78,6,260,4,0,1,0,hr,medium,0.07786885245901609,1.1428571428571428
264,0.42,0.5,2,139,3,0,1,0,hr,medium,0.84,0.8571428571428571
265,0.84,0.93,4,251,5,0,1,0,technical,medium,0.9032258064516128,1.4285714285714286
266,0.11,0.95,6,286,4,0,1,0,technical,medium,0.07786885245901609,1.1428571428571428
267,0.45,0.53,2,129,3,0,1,0,technical,high,0.8490566037735849,0.8571428571428571
268,0.38,0.56,2,156,3,0,1,0,technical,low,0.07786885245901609,0.8571428571428571
269,0.38,0.86,6,139,6,0,1,0,technical,medium,0.07786885245901609,1.7142857142857142
270,0.44,0.51,2,127,3,0,1,0,technical,medium,0.8627450980392157,0.8571428571428571
271,0.11,0.84,6,251,4,0,1,0,technical,medium,0.07786885245901609,1.1428571428571428
272,0.81,0.93,5,270,5,0,1,0,technical,medium,0.8709677419354839,1.4285714285714286
273,0.09,0.96,6,296,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
274,0.11,0.9,6,254,4,0,1,0,technical,low,0.07786885245901609,1.1428571428571428
275,0.81,0.95,5,238,6,0,1,0,technical,low,0.8526315789473685,1.7142857142857142
276,0.1,0.97,6,267,4,1,1,0,support,low,0.07786885245901609,1.1428571428571428
277,0.74,0.89,5,229,6,0,1,0,support,low,0.8314606741573034,1.7142857142857142
278,0.09,0.78,6,254,4,0,1,0,support,low,0.07786885245901609,1.1428571428571428
279,0.82,0.81,4,233,4,1,1,0,support,low,1.0123456790123455,1.1428571428571428
280,0.1,0.98,6,268,4,0,1,0,support,low,0.07786885245901609,1.1428571428571428
281,0.27,0.56,3,301,3,0,1,0,support,low,0.07786885245901609,0.8571428571428571
282,0.83,0.92,5,267,6,0,1,0,support,low,0.9021739130434782,1.7142857142857142
283,0.1,0.93,6,289,4,1,1,0,support,low,0.07786885245901609,1.1428571428571428
284,0.38,0.47,2,144,3,0,1,0,support,low,0.8085106382978724,0.8571428571428571
285,0.4,0.56,2,148,3,0,1,0,support,low,0.7142857142857143,0.8571428571428571
286,0.11,0.83,6,306,4,0,1,0,support,low,0.07786885245901609,1.1428571428571428
287,0.11,0.79,6,292,4,0,1,1,technical,low,0.07786885245901609,1.1428571428571428
288,0.82,0.91,5,232,5,0,1,0,technical,low,0.901098901098901,1.4285714285714286
289,0.36,0.48,2,137,3,0,1,0,technical,low,0.75,0.8571428571428571
290,0.4,0.46,2,128,3,0,1,0,management,low,0.8695652173913043,0.8571428571428571
291,0.87,0.84,5,231,5,0,1,0,IT,low,1.0357142857142858,1.4285714285714286
292,0.41,0.49,2,146,3,0,1,0,IT,low,0.836734693877551,0.8571428571428571
293,0.11,0.91,6,308,4,1,1,0,IT,low,0.07786885245901609,1.1428571428571428
294,0.1,0.93,6,253,4,0,1,0,IT,medium,0.07786885245901609,1.1428571428571428
295,0.38,0.51,2,146,3,0,1,0,IT,medium,0.7450980392156863,0.8571428571428571
296,0.39,0.55,2,156,3,0,1,0,product_mng,medium,0.7090909090909091,0.8571428571428571
297,0.4,0.52,2,147,3,0,1,0,product_mng,medium,0.7692307692307693,0.8571428571428571
298,0.45,0.48,2,136,3,0,1,0,product_mng,medium,0.9375000000000001,0.8571428571428571
299,0.74,0.84,5,249,5,0,1,0,product_mng,medium,0.8809523809523809,1.4285714285714286
300,0.45,0.55,2,151,3,0,1,0,IT,medium,0.8181818181818181,0.8571428571428571
301,0.12,1.0,3,278,4,0,1,0,RandD,medium,0.07786885245901609,1.1428571428571428
302,0.1,0.77,7,250,5,0,1,0,RandD,medium,0.07786885245901609,1.4285714285714286
303,0.37,0.55,2,127,3,0,1,0,RandD,medium,0.07786885245901609,0.8571428571428571
304,0.89,0.87,5,255,5,0,1,0,RandD,medium,1.0229885057471264,1.4285714285714286
305,0.45,0.47,2,135,3,0,1,0,RandD,medium,0.9574468085106383,0.8571428571428571
306,0.37,0.46,2,149,3,0,1,0,marketing,high,0.8043478260869564,0.8571428571428571
307,0.11,0.81,5,287,4,0,1,0,sales,low,0.07786885245901609,1.1428571428571428
308,0.41,0.48,2,145,3,0,1,0,accounting,medium,0.8541666666666666,0.8571428571428571
